schema_version,provider,provider_detail,operation,m,n,activation_dtype,weight_dtype,weight_mode,eps,correctness_passed,cold_compile_ms,cold_compile_reused,median_us,p10_us,p90_us,logical_bytes,logical_gbps,copy_roofline_gbps,copy_roofline_pct,rotation_buffers,rotation_working_set_bytes,l2_target_bytes,l2_eviction_between_calls,timed_samples
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,1,4096,float16,float16,same,1e-06,True,952.497618,False,6.08,5.9104,6.4416,24576,4.042105,4148.155822,0.097443,4,98304,188743680,True,48
1,torch,torch.nn.functional.rms_norm,fwd,1,4096,float16,float16,same,1e-06,True,,False,11.68,11.136,12.3936,24576,2.10411,4148.155822,0.050724,4,98304,188743680,True,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,1,4096,float16,float16,same,1e-06,True,1147.992568,False,44.496,38.054401,54.464001,40964,0.920622,4148.155822,0.022194,4,163856,188743680,True,48
1,torch,torch.nn.functional.rms_norm autograd,bwd,1,4096,float16,float16,same,1e-06,True,,False,12.944,11.904,21.8112,40964,3.164709,4148.155822,0.076292,4,163856,188743680,True,48
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,1,4096,float16,float32,float32,1e-06,True,596.903185,False,5.936,5.568,6.1536,32768,5.520216,4148.155822,0.133076,4,131072,188743680,True,48
1,torch,torch.nn.functional.rms_norm,fwd,1,4096,float16,float32,float32,1e-06,True,,False,22.624,22.092801,23.4304,32768,1.448373,4148.155822,0.034916,4,131072,188743680,True,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,1,4096,float16,float32,float32,1e-06,True,1099.41356,False,14.72,14.1024,15.6896,57348,3.895924,4148.155822,0.093919,4,229392,188743680,True,48
1,torch,torch.nn.functional.rms_norm autograd,bwd,1,4096,float16,float32,float32,1e-06,True,,False,199.472003,185.916799,221.228804,57348,0.287499,4148.155822,0.006931,4,229392,188743680,True,48
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,1,4096,bfloat16,bfloat16,same,1e-06,True,566.429833,False,6.0,5.568,6.2048,24576,4.096,4148.155822,0.098743,4,98304,188743680,True,48
1,torch,torch.nn.functional.rms_norm,fwd,1,4096,bfloat16,bfloat16,same,1e-06,True,,False,11.84,11.552,12.3904,24576,2.075676,4148.155822,0.050039,4,98304,188743680,True,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,1,4096,bfloat16,bfloat16,same,1e-06,True,1155.318347,False,18.767999,18.368,20.0768,40964,2.182651,4148.155822,0.052617,4,163856,188743680,True,48
1,torch,torch.nn.functional.rms_norm autograd,bwd,1,4096,bfloat16,bfloat16,same,1e-06,True,,False,13.152,11.9712,13.8592,40964,3.114659,4148.155822,0.075085,4,163856,188743680,True,48
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,1,4096,bfloat16,float32,float32,1e-06,True,559.812594,False,6.08,5.92,6.2816,32768,5.389474,4148.155822,0.129925,4,131072,188743680,True,48
1,torch,torch.nn.functional.rms_norm,fwd,1,4096,bfloat16,float32,float32,1e-06,True,,False,22.736,22.1344,23.625599,32768,1.441239,4148.155822,0.034744,4,131072,188743680,True,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,1,4096,bfloat16,float32,float32,1e-06,True,1304.663076,False,14.832,14.592,15.84,57348,3.866505,4148.155822,0.09321,4,229392,188743680,True,48
1,torch,torch.nn.functional.rms_norm autograd,bwd,1,4096,bfloat16,float32,float32,1e-06,True,,False,109.760001,107.263997,119.164797,57348,0.522485,4148.155822,0.012596,4,229392,188743680,True,48
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,1,4096,float32,float32,same,1e-06,True,533.856317,False,6.128,5.728,6.4416,49152,8.020888,4148.155822,0.19336,4,196608,188743680,True,48
1,torch,torch.nn.functional.rms_norm,fwd,1,4096,float32,float32,same,1e-06,True,,False,10.32,9.952,10.7488,49152,4.762791,4148.155822,0.114817,4,196608,188743680,True,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,1,4096,float32,float32,same,1e-06,True,1057.691205,False,14.8,14.2976,15.731201,81924,5.535405,4148.155822,0.133443,4,327696,188743680,True,48
