schema_version,provider,provider_detail,operation,m,n,activation_dtype,weight_dtype,weight_mode,eps,cold_compile_ms,cold_compile_reused,median_us,p10_us,p90_us,logical_bytes,logical_gbps,peak_bw_gbps,peak_bw_pct,rotation_buffers,rotation_working_set_bytes,rotation_target_bytes,evictor_threshold_bytes,evictor_ran_per_rotation,timed_samples
4,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,1,4096,bfloat16,bfloat16,same,1e-06,119.944193,False,17.108,16.235201,19.0552,24576,1.436521,4314.018124,0.033299,4,98304,188743680,125829120,True,40
4,torch,torch.nn.functional.rms_norm,fwd,1,4096,bfloat16,bfloat16,same,1e-06,,False,9.344,9.1416,9.608,24576,2.630137,4314.018124,0.060967,4,98304,188743680,125829120,True,40
4,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,256,4096,bfloat16,bfloat16,same,1e-06,0.202297,False,16.684,15.999199,18.884,4202496,251.887791,4314.018124,5.838821,4,16809984,188743680,125829120,True,40
4,torch,torch.nn.functional.rms_norm,fwd,256,4096,bfloat16,bfloat16,same,1e-06,,False,9.656,9.3568,9.9896,4202496,435.221212,4314.018124,10.088535,4,16809984,188743680,125829120,True,40
4,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,512,4096,bfloat16,bfloat16,same,1e-06,0.147721,False,16.984,16.001601,18.1616,8396800,494.394728,4314.018124,11.460191,4,33587200,188743680,125829120,True,40
4,torch,torch.nn.functional.rms_norm,fwd,512,4096,bfloat16,bfloat16,same,1e-06,,False,10.248,9.9432,10.5864,8396800,819.359891,4314.018124,18.992964,4,33587200,188743680,125829120,True,40
4,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,4096,3000,bfloat16,bfloat16,same,1e-06,671.942196,False,39.891999,39.3888,40.890399,49158000,1232.277173,4314.018124,28.564488,4,196632000,188743680,125829120,False,40
4,torch,torch.nn.functional.rms_norm,fwd,4096,3000,bfloat16,bfloat16,same,1e-06,,False,22.784,22.5416,23.118401,49158000,2157.566689,4314.018124,50.012926,4,196632000,188743680,125829120,False,40
4,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,4096,4096,bfloat16,bfloat16,same,1e-06,0.149144,False,38.351999,37.652268,39.648001,67117056,1750.027581,4314.018124,40.566069,3,201351168,188743680,125829120,False,40
4,torch,torch.nn.functional.rms_norm,fwd,4096,4096,bfloat16,bfloat16,same,1e-06,,False,28.581332,28.242132,29.025067,67117056,2348.282964,4314.018124,54.433776,3,201351168,188743680,125829120,False,40
4,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,32768,1024,bfloat16,bfloat16,same,1e-06,1.660287,False,49.904,49.244799,51.169598,134219776,2689.559473,4314.018124,62.344649,2,268439552,188743680,125829120,False,40
4,torch,torch.nn.functional.rms_norm,fwd,32768,1024,bfloat16,bfloat16,same,1e-06,,False,50.480001,50.068801,50.9456,134219776,2658.870329,4314.018124,61.633267,2,268439552,188743680,125829120,False,40
4,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,32768,2048,bfloat16,bfloat16,same,1e-06,407.574058,False,84.727999,83.819201,85.417602,268439552,3168.250823,4314.018124,73.440832,2,536879104,188743680,125829120,False,40
4,torch,torch.nn.functional.rms_norm,fwd,32768,2048,bfloat16,bfloat16,same,1e-06,,False,84.727999,84.303997,85.409602,268439552,3168.250823,4314.018124,73.440832,2,536879104,188743680,125829120,False,40
4,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,32768,4096,bfloat16,bfloat16,same,1e-06,1.42964,False,145.984001,145.516805,147.124796,536879104,3677.657131,4314.018124,85.248996,2,1073758208,188743680,125829120,False,40
4,torch,torch.nn.functional.rms_norm,fwd,32768,4096,bfloat16,bfloat16,same,1e-06,,False,159.575999,159.0864,160.273603,536879104,3364.410112,4314.018124,77.987853,2,1073758208,188743680,125829120,False,40
4,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,32768,8192,bfloat16,bfloat16,same,1e-06,420.431578,False,276.175991,275.489599,277.967989,1073758208,3887.949149,4314.018124,90.123616,2,2147516416,188743680,125829120,False,40
4,torch,torch.nn.functional.rms_norm,fwd,32768,8192,bfloat16,bfloat16,same,1e-06,,False,401.303992,400.915197,401.910388,1073758208,2675.672882,4314.018124,62.022755,2,2147516416,188743680,125829120,False,40
