schema_version,provider,provider_detail,operation,m,n,activation_dtype,weight_dtype,weight_mode,eps,cold_compile_ms,cold_compile_reused,median_us,p10_us,p90_us,logical_bytes,logical_gbps,peak_bw_gbps,peak_bw_pct,rotation_buffers,rotation_working_set_bytes,rotation_target_bytes,evictor_threshold_bytes,evictor_ran_per_rotation,timed_samples
4,flydsl,FlyDSL low-level forward,fwd,1,4096,bfloat16,bfloat16,same,1e-06,206.269975,False,4.235,4.11,4.451,24576,5.803069,6664.195243,0.087078,4,98304,805306368,536870912,True,40
4,torch,torch.nn.functional.rms_norm,fwd,1,4096,bfloat16,bfloat16,same,1e-06,,False,7.355,7.109,7.644,24576,3.3414,6664.195243,0.05014,4,98304,805306368,536870912,True,40
4,flydsl,FlyDSL low-level forward,fwd,256,4096,bfloat16,bfloat16,same,1e-06,206.269975,True,4.505,4.429,4.600025,4202496,932.851531,6664.195243,13.997962,4,16809984,805306368,536870912,True,40
4,torch,torch.nn.functional.rms_norm,fwd,256,4096,bfloat16,bfloat16,same,1e-06,,False,7.235,7.138,7.385,4202496,580.856381,6664.195243,8.716077,4,16809984,805306368,536870912,True,40
4,flydsl,FlyDSL low-level forward,fwd,512,4096,bfloat16,bfloat16,same,1e-06,206.269975,True,5.13,5.079025,5.182225,8396800,1636.803136,6664.195243,24.561152,4,33587200,805306368,536870912,True,40
4,torch,torch.nn.functional.rms_norm,fwd,512,4096,bfloat16,bfloat16,same,1e-06,,False,7.955,7.869,8.301,8396800,1055.537362,6664.195243,15.838932,4,33587200,805306368,536870912,True,40
4,flydsl,FlyDSL low-level forward,fwd,4096,3000,bfloat16,bfloat16,same,1e-06,96.389651,False,13.705125,13.56,13.893025,49158000,3586.833494,6664.195243,53.822455,4,196632000,805306368,536870912,True,40
4,torch,torch.nn.functional.rms_norm,fwd,4096,3000,bfloat16,bfloat16,same,1e-06,,False,18.700249,18.589224,19.016251,49158000,2628.734981,6664.195243,39.445648,4,196632000,805306368,536870912,True,40
4,flydsl,FlyDSL low-level forward,fwd,4096,4096,bfloat16,bfloat16,same,1e-06,206.269975,True,16.190249,16.107999,16.395026,67117056,4145.523274,6664.195243,62.20591,4,268468224,805306368,536870912,True,40
4,torch,torch.nn.functional.rms_norm,fwd,4096,4096,bfloat16,bfloat16,same,1e-06,,False,22.045125,21.845226,22.567251,67117056,3044.53049,6664.195243,45.684893,4,268468224,805306368,536870912,True,40
4,flydsl,FlyDSL low-level forward,fwd,32768,1024,bfloat16,bfloat16,same,1e-06,83.550418,False,28.78025,28.287249,29.88525,134219776,4663.607042,6664.195243,69.980048,4,536879104,805306368,536870912,False,40
4,torch,torch.nn.functional.rms_norm,fwd,32768,1024,bfloat16,bfloat16,same,1e-06,,False,50.555374,50.015251,51.087274,134219776,2654.906178,6664.195243,39.838361,4,536879104,805306368,536870912,False,40
4,flydsl,FlyDSL low-level forward,fwd,32768,2048,bfloat16,bfloat16,same,1e-06,81.034695,False,52.300334,51.322999,53.353967,268439552,5132.654643,6664.195243,77.018371,3,805318656,805306368,536870912,False,40
4,torch,torch.nn.functional.rms_norm,fwd,32768,2048,bfloat16,bfloat16,same,1e-06,,False,84.627335,83.580663,86.032668,268439552,3172.019433,6664.195243,47.597937,3,805318656,805306368,536870912,False,40
4,flydsl,FlyDSL low-level forward,fwd,32768,4096,bfloat16,bfloat16,same,1e-06,206.269975,True,94.90075,94.026548,96.770547,536879104,5657.26937,6664.195243,84.890511,2,1073758208,805306368,536870912,False,40
4,torch,torch.nn.functional.rms_norm,fwd,32768,4096,bfloat16,bfloat16,same,1e-06,,False,162.4915,161.175495,163.633044,536879104,3304.044228,6664.195243,49.579043,2,1073758208,805306368,536870912,False,40
4,flydsl,FlyDSL low-level forward,fwd,32768,8192,bfloat16,bfloat16,same,1e-06,102.920961,False,186.791502,184.803499,190.395494,1073758208,5748.431791,6664.195243,86.258454,2,2147516416,805306368,536870912,False,40
4,torch,torch.nn.functional.rms_norm,fwd,32768,8192,bfloat16,bfloat16,same,1e-06,,False,314.572498,313.206497,317.106491,1073758208,3413.388691,6664.195243,51.219818,2,2147516416,805306368,536870912,False,40
